"Part";"Value";"Device";"Package";"Description";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"IMPORTED_FROM";"IS_FEMALE";"LEAD_FREE";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MP";"MPN";"NUM_PINS";"OCTOPART_PART_NUMBER";"PACKAGE";"PREFIX";"PROD_ID";"ROHS";"SF_SKU";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VENDOR";
"C1";"10µF";"10UF-POLAR-EIA6032-25V-10%";"EIA6032-NOM";"10.0µF polarized capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12984";"";"";"";"";"";"10µF";"";
"C2";"100nF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";"";
"C3";"22uF";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";"";
"C4";"470n";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";"";
"C5";"100n";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";"";
"C6";"1000p";"22UF-0805-6.3V-20%";"0805";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08402";"";"";"";"";"";"22uF";"";
"D1";"3.3V";"DIODE-ZENER-MM3Z3V3T1G";"SOD-323";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11284";"";"";"";"";"";"3.3V";"";
"J1";"";"CONN_05X20.05_IN_PTH_SILK";"2X5_PTH_SILK_.05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"MOLEX_48037-0001MOLEX_48037-0001_0_0";"MOLEX_48037-0001MOLEX_48037-0001_0_0";"MOLEX_48037-0001_0";"Universal Serial Bus (USB) Shielded I/O Plug, Type A, Right Angle, Through Hole, 0.76µm Gold (Au) Plating, PCB Thickness 1.20mm-1.60mm, Lead-Free";"No";"http://www.molex.com/elqNow/elqRedir.htm?ref=http://www.molex.com/pdm_docs/sd/480370001_sd.pdf";"";"";"";"CONN PLUG USB 4POS RT ANG PCB";"WM17117-ND";"octopart";"yes";"yes";"";"Molex";"538-48037-0001";"";"48037-0001";"2";"6671af1c981eb9b6";"CONN_USB_PTH_18MM8_12MM0";"J";"";"yes";"";"";"+85°C";"-20°C";"";"";
"J3";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";
"R3";"47k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"";"";"2.0k";"";
"R4";"1Meg";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"";"";"2.0k";"";
"R5";"1k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"";"";"2.0k";"";
"R6";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";"";"";
"RIGHT_ANGLE_SMA_MALE";"5-1814400-1";"5-1814400-1";"5-1814400-1";"";"";"";"";"";"";"";"";"";"";"";"518144001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"TE Connectivity";
"RX";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" SWCH-08441";"";"COM-00097";"";"";"";"";"";
"STATUS";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TM2";"";"TRIMPOTTC33X";"TC33X";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TX";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"LTC1069-7CS8#PBF";"LTC1069-7CS8#PBF";"SO-8_S";"";"";"";" LTC1069-7 - Linear Phase 8th Order Lowpass Filter ";"LTC1069-7CS8#PBF-ND";"https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LTC1069-7CS8-PBF/LTC1069-7CS8-PBF-ND/889060?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"";"";"";"";"";"Linear Technology";"";"LTC1069-7CS8#PBF";"";"";"";"SOIC-8 Linear Technology";"";"";"";"";"";"";"";"";"";
"U2";"FT232RL-BASICSSOP";"FT232RL-BASICSSOP";"SSOP28DB";"USB UART";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U3";"MSP430FR2355";"MSP430FR2355";"DA38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
